0,16,97.7386,-423,50.4152,-251,22.7506,-198,22.454,-453,10.4942,-255,10.3783,-253,9.27661,-276,7.79979,
0,10,97.2512,-429,50.1595,-257,22.6332,-204,22.3383,-459,10.4383,-261,10.3227,-259,9.22652,-282,7.75702,
0,18,96.7662,-421,49.9057,-249,22.517,-196,22.2238,-451,10.3831,-253,10.2681,-251,9.17734,-274,7.71514,
1,35,96.2833,-404,49.6536,-232,22.4019,-179,22.1104,-434,10.3287,-236,10.2143,-234,9.12901,-257,7.67407,
0,28,95.8025,-411,49.4035,-239,22.2882,-186,21.9982,-441,10.2752,-243,10.1614,-241,9.0816,-264,7.63389,
0,20,95.3241,-419,49.155,-247,22.1754,-194,21.8869,-449,10.2224,-251,10.1092,-249,9.03481,-272,7.59431,
0,21,94.848,-418,48.908,-246,22.0633,-193,21.7764,-448,10.1701,-250,10.0575,-248,8.9885,-271,7.55518,
0,4,103.832,-440,48.6624,-268,21.9519,-215,21.6665,-470,10.1182,-272,10.0062,-270,8.94246,-293,7.51628,
0,18,103.486,-429,48.4176,-257,21.8407,-204,21.5568,-459,10.0661,-261,9.95468,-259,8.8963,-282,7.47723,
0,12,102.97,-435,48.1738,-263,21.7298,-210,21.4475,-465,10.0141,-267,9.90322,-265,8.85013,-288,7.43813,
1,44,102.455,-403,47.9315,-231,21.6198,-178,21.3389,-433,9.96264,-235,9.85231,-233,8.80449,-256,7.39952,
1,60,101.944,-387,47.69,-31,23.2461,-215,21.51,-162,21.2306,-417,9.91099,-219,9.8013,-217,8.75872,
1,53,101.435,-394,47.4479,-38,23.1278,-222,21.3991,-169,21.1214,-424,9.85781,-226,9.74893,-224,8.71157,
1,69,100.928,-378,47.2087,-22,23.0111,-206,21.2903,-153,21.0142,-408,9.80662,-210,9.69842,-208,8.66626,
1,69,100.424,-378,46.9708,-25,28.6411,-206,21.1822,-153,20.9076,-408,9.75572,-210,9.64822,-208,8.62122,
1,56,99.9228,-391,46.7335,-38,28.4965,-219,21.074,-166,20.801,-421,9.7045,-223,9.59772,-221,8.57586,
1,63,99.4237,-384,46.4979,-31,28.3529,-212,20.9669,-159,20.6953,-414,9.65406,-216,9.54794,-214,8.5312,
1,55,98.9271,-392,46.2636,-39,28.2102,-220,20.8604,-167,20.5903,-422,9.604,-224,9.49853,-222,8.48688,
1,57,98.433,-390,46.0304,-37,28.0681,-218,20.7544,-165,20.4858,17,12.2035,-420,9.55417,-222,9.44934,
1,21,97.9413,-426,45.799,-73,27.927,-254,20.6494,-201,20.3823,0,14.6492,-456,9.50517,-258,9.40091,
1,23,97.4521,-424,45.5688,-71,27.7865,-252,20.545,-199,20.2793,19,18.0769,-454,9.45641,-256,9.35271,
0,8,96.9655,-439,45.3395,-86,27.6466,-267,20.4408,-214,20.1766,7,19.2449,-469,9.40769,-271,9.30453,
1,32,96.4812,-415,45.1115,-62,27.5075,-243,20.3374,-190,20.0746,31,19.1492,-445,9.35942,-247,9.25681,
1,25,95.9992,-422,44.8851,-69,27.3694,-250,20.2349,-197,19.9734,24,19.0538,-452,9.31176,-254,9.20969,
1,38,95.5194,-409,44.6601,-56,27.2322,-237,20.1332,-184,19.873,37,18.9588,-439,9.26461,-241,9.16308,
